,Placa,Modelo,Marca,AnoFabr.,Combustível,Chassi,Cor,Potência,Cilindro,Aquisição,Conservação,Situação,Combustivel,Renavam,Tipo,Motor,Caixa,Local,Loc.Manutenção,Km Atual,Data Compra,Data Venda,Nota de compra,Valor de compra,Nota de venda,Valor de venda,Nº Apólice
188,GMF7913,AMBULANCIA MARIMAR 415,MERCEDES BENZ,2014,Diesel,8AC906633EE093323,BRANCA,146 CV,4,COMPRA,Ótimo,Ativa,Diesel,1030667818,ESP/CAMION/AMBULANCIA,651955W0031477,,,,11919,01/12/2015,,64812,225000,0,0,
189,GMF7940,VAN SPRINTER 515CD,MERCEDES BENZ,2014,Diesel,8AC906657FE104190,BRANCA,146 CV,4,COMPRA,Ótimo,Ativa,Diesel,1037866506,PAS/MICROONIBUS,651.955W0042233,,,,95464,02/06/2015,,69646,165000,0,0,
190,GMF7C31,KOMBI STANDARD,VOLKSWAGEN,2012,Gasolina,9bwmf07x8dp015299,BRANCA,80 CV,4,COMPRA,Ótimo,Ativa,Gasolina,508603935,MIS/CAMION./C.FECHADA,BTJ809413,,,,111416,02/07/2013,,468821,0,0,0,GMF7231
191,GMF8048,VAN SPRINTER 415 CD,MERCEDES BENZ,2015,Diesel,8AC906633GE112812,BRANCA,146 CV,4,COMPRA,Ótimo,Ativa,Diesel,1071607143,PAS/MICROONIBUS,651955W0050790,,,,111616,12/10/2015,,232145,152800,0,0,
192,GMF8068,PICK-UP S10 LT DD4A,CHEVROLET,2016,Diesel,9BG148FK0GC423960,BRANCA,200 CV,4,COMPRA,Ótimo,Ativa,Diesel,1079794686,MIS/CAMION./CAB. DUPLA,,,,,150921,03/02/2016,,1023167,122900,0,0,
193,GMF8192,ONIBUS MASCA GRANMICRO,MERCEDES BENZ,2016,Diesel,9BM979277HB045550,BRANCA,156 CV,4,COMPRA,Ótimo,Ativa,Diesel,1103851052,PAS/ONIBUS,OM 924 LA 115KW(156PS),,,,60449,12/02/2016,,914167,214000,0,0,
194,GMF8291,REBOQUE,REBOQUE,2017,Gasolina,9A9T12LCTHCU1004,,,,COMPRA,Ótimo,Ativa,Gasolina,1131236898,CAR/REBOQUE/C.ABERTA,,,,,0,10/05/2017,,485,23313,0,0,
195,GMF8352,COMIL CAMPIONE R,VOLKSWAGEN,2017,Diesel,9532K82WXJR810571,BRANCA,256 CV,6,COMPRA,Ótimo,Ativa,Diesel,1142337704,PAS/ONIBUS,0244843A624842,,,,25797,05/09/2018,,2807,474000,0,0,
196,GMF8354,LOGAN EXP. 1.6 SCE,RENAULT,2018,Gasolina,93Y4SRFH4JJ287689,BRANCA,118 CV,4,COMPRA,Ótimo,Ativa,Gasolina,1149996410,PAS/AUTOMOVEL,H4ME734Q037126,,,,70088,21/05/2018,,3209,54240,0,0,
197,GMF8355,LOGAN EXP. 1.6 SCE,RENAULT,2018,Gasolina,93Y4SRFH4JJ287849,,118 CV,4,COMPRA,Ótimo,Ativa,Gasolina,1150543350,PAS/AUTOMOVEL,H4ME734Q037126,,,,78965,21/05/2018,,3208,54240,0,0,
198,GMF8484,CRONOS,FIAT,2018,Gasolina,8AP359A2SKU047654,BRANCA,,,,Ótimo,Ativa,Gasolina,1177987314,PAS/AUTOMOVEL,,,,,57363,15/01/2019,,0,61891,0,0,
199,GMF8485,CRONOS,FIAT,2018,Gasolina,8AP359A2SKU048951,BRANCA,,,,Ótimo,Ativa,Gasolina,1177877942,PAS/AUTOMOVEL,,,,,76646,15/01/2019,,0,61891,0,0,
200,GMF8532,CRONOS,FIAT,2018,Gasolina,8AP359A2SKU048960,BRANCA,,,,Ótimo,Ativa,Gasolina,1194788626,PAS/AUTOMOVEL,,,,,44394,06/06/2019,,1030842,61891,0,0,
201,GMF8533,CRONOS,FIAT,2018,Gasolina,8AP359A2SKU039067,,,,,Ótimo,Ativa,Gasolina,1194879354,PAS/AUTOMOVEL,,,,,22484,06/06/2019,,1030298,61891,0,0,
202,GMF8534,VAN DUCATO MINIBUS,FIAT,,Gasolina,3C6EFVEK7KE521150,,,,,Ótimo,Ativa,Gasolina,1190028651,PAS/MICROONIBUS,,,,,24147,29/04/2019,,1022638,152390,0,0,
203,GMF8536,PRISMA,CHEVROLET,2019,Gasolina,9BGKS69V0KG347561,BRANCA,"1,4",4,,Ótimo,Ativa,Gasolina,1197252000,PAS/AUTOMOVEL,,,,,12219,18/07/2019,,0,0,0,0,
204,GMF8601,PIC-UP MMC L200,MITSUBISHI,2019,Diesel,93XLJKL1TLCK25990,BRANCA,,,,Ótimo,Ativa,Diesel,1221440672,PICK-UP,,,,,0,01/08/2020,,32748,133250,0,0,
205,GMU7184,REBOQUE,REBOQUE,1992,Outros,9EZMG10PCN0002279,CINZA,,,DOACAO-CONT.-001/2008,Regular,Ativa,Outros,249583399,CAR/REBOQUE/C.ABERTA,,,,,0,10/06/2008,,0,"1824,5",0,0,
206,GSM6051,VAN SPRINTER,MERCEDES BENZ,1997,Diesel,8AC690341VA510348,BRANCA,95 CV,4,DOACAO,Anti-econômico,Ativa,Diesel,689932871,PAS/MICROONIBUS,,,,,266627,13/02/1998,,0,36458,0,0,
207,GSO8541,KOMBI - STANDARD,VOLKSWAGEN,1998,Gasolina,9BWZZZ237WP005728,BRANCA,61 CV,4,DOACAO,Anti-econômico,Ativa,Gasolina,694608963,MIS/CAMION./C.FECHADA,"1,6","1,6",,,146999,13/02/1998,,0,17830,0,0,
208,GSX3225,XLR 125,HONDA,1999,Gasolina,9C2JD1700XR020454,VERMELHA,12 CV,1,DOACAO,Regular,Ativa,Gasolina,729990923,PAS/MOTOCICLETA,,,,,65711,08/12/1999,,0,4729,0,0,
209,GSX3556,XLR 125,HONDA,1999,Gasolina,9C2JD1700XR019073,BRANCA,11 CV,1,DOACAO,Regular,Ativa,Gasolina,731093011,PAS/MOTOCICLETA,,,,,43286,08/11/1999,22/08/2008,0,4729,0,0,
210,GSZ4470,AMAROK CD 4X4 SE,VOLKSWAGEN,2011,Diesel,WV1DB42HXB8061419,BRANCA,163 CV,4,DOACAO CONTRATO 010502D,Ótimo,Ativa,Diesel,330651234,ESP/CAMIONETE/AB.CAB.DUPLA,,,,,111858,17/11/2017,,0,94751,0,0,
211,GUF4074,UNO MILLE FIRE,FIAT,2002,Gasolina,9BD15822524364963,CINZA,055 CV,4,DOACAO CONT. 08055-D,Bom,Ativa,Gasolina,778474305,PAS/AUTOMOVEL,,,,,109642,15/05/2012,,0,14950,0,0,
212,GVJ9346,ONIBUS K 112 33,SCANIA,1985,Diesel,9BSKC4X2Z03453855,BRANCA,,4,DOACAO PROC.10670.001330/2009-20,Bom,Ativa,Diesel,241575117,PAS/ONIBUS,,,,,375287,19/04/2011,,0,60000,0,0,
213,GVS3129,REBOQUE,REBOQUE,1996,Outros,9EZMG10PCT0005505,BRANCA,,,DOACAO CONT. 001/2008,Regular,Ativa,Outros,249824590,CAR/REBOQUE/C.ABERTA,,,,,0,10/06/2008,,0,"1824,5",0,0,
